algorithm,feature_group,model,feature,gain,normalized_gain
xgboost,calendar_only,xgboost__calendar_only,day_of_year,7077904384.0000000000,0.2717867916
xgboost,calendar_only,xgboost__calendar_only,month,3874811392.0000000000,0.1487901643
xgboost,calendar_only,xgboost__calendar_only,hour_utc,3234944512.0000000000,0.1242197043
xgboost,calendar_only,xgboost__calendar_only,day_of_year_cos,2889637120.0000000000,0.1109601316
xgboost,calendar_only,xgboost__calendar_only,hour_cos,2188375552.0000000000,0.0840321567
xgboost,calendar_only,xgboost__calendar_only,day_of_year_sin,1859058048.0000000000,0.0713865849
xgboost,calendar_only,xgboost__calendar_only,day_of_week_utc,1288099456.0000000000,0.0494621571
xgboost,calendar_only,xgboost__calendar_only,hour_sin,1080452224.0000000000,0.0414886423
xgboost,calendar_only,xgboost__calendar_only,day_of_week_sin,856360320.0000000000,0.0328836632
xgboost,calendar_only,xgboost__calendar_only,day_of_week_cos,788856704.0000000000,0.0302915695
xgboost,calendar_only,xgboost__calendar_only,year,757464448.0000000000,0.0290861279
xgboost,calendar_only,xgboost__calendar_only,day,146156368.0000000000,0.0056123067
xgboost,calendar_only,xgboost__calendar_only,is_weekend_utc,0.0000000000,0.0000000000
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_1h,3613293312.0000000000,0.7836407448
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_24h,408131232.0000000000,0.0885143372
xgboost,autoregressive_demand,xgboost__autoregressive_demand,hour_cos,124023992.0000000000,0.0268979695
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_3h,88650584.0000000000,0.0192262857
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_168h,85494608.0000000000,0.0185418267
xgboost,autoregressive_demand,xgboost__autoregressive_demand,hour_sin,67095716.0000000000,0.0145515275
xgboost,autoregressive_demand,xgboost__autoregressive_demand,hour_utc,41176728.0000000000,0.0089302913
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_week_utc,31975522.0000000000,0.0069347600
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_12h,24349778.0000000000,0.0052809104
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_6h,13863618.0000000000,0.0030067019
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_24h_std,13655433.0000000000,0.0029615514
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_24h_max,13044634.0000000000,0.0028290830
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_2h,12879881.0000000000,0.0027933518
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_24h_mean,9486993.0000000000,0.0020575120
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_year_cos,7711148.0000000000,0.0016723718
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_168h_min,7316345.0000000000,0.0015867480
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_week_sin,6593560.5000000000,0.0014299926
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_24h_min,6486147.5000000000,0.0014066972
xgboost,autoregressive_demand,xgboost__autoregressive_demand,year,4942017.0000000000,0.0010718105
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_year,4770619.0000000000,0.0010346382
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_year_sin,4670266.5000000000,0.0010128741
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day_of_week_cos,4349838.5000000000,0.0009433806
xgboost,autoregressive_demand,xgboost__autoregressive_demand,month,3943245.5000000000,0.0008551998
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_168h_mean,3286883.5000000000,0.0007128499
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_lag_48h,2843690.2500000000,0.0006167314
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_168h_std,2724919.0000000000,0.0005909727
xgboost,autoregressive_demand,xgboost__autoregressive_demand,demand_rolling_168h_max,2308374.5000000000,0.0005006337
xgboost,autoregressive_demand,xgboost__autoregressive_demand,day,1836275.8750000000,0.0003982463
xgboost,autoregressive_demand,xgboost__autoregressive_demand,is_weekend_utc,0.0000000000,0.0000000000
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_1h,2127572736.0000000000,0.4611613496
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_24h,1723958528.0000000000,0.3736760807
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_2h,177192352.0000000000,0.0384072717
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_168h,90414240.0000000000,0.0195977097
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_3h,58523384.0000000000,0.0126852174
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,solar_lag_1h,48842968.0000000000,0.0105869419
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,hour_cos,45432068.0000000000,0.0098476134
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,day_of_week_utc,45360728.0000000000,0.0098321501
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,solar_lag_168h,38704808.0000000000,0.0083894483
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,day_of_week_sin,30998892.0000000000,0.0067191549
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,hour_utc,30277456.0000000000,0.0065627803
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,solar_lag_24h,26804022.0000000000,0.0058098972
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_rolling_24h_max,21712168.0000000000,0.0047062140
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_rolling_24h_mean,19270266.0000000000,0.0041769204
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_rolling_24h_min,16599861.0000000000,0.0035980976
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_12h,13490814.0000000000,0.0029241971
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_lag_6h,11262147.0000000000,0.0024411231
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,hour_sin,9829937.0000000000,0.0021306849
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,demand_rolling_24h_std,7788529.5000000000,0.0016882002
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,is_weekend_utc,7205269.0000000000,0.0015617758
xgboost,renewable_history_enhanced,xgboost__renewable_history_enhanced,solar_wind_lag_1h,5959598.5000000000,0.0012917709
