split,forecast_date,demand_peak_mwh,demand_peak_time_utc,residual_demand_peak_mwh,residual_demand_peak_time_utc,lowest_forecast_renewable_share_pct,lowest_forecast_renewable_share_time_utc,maximum_upward_residual_ramp_mwh,maximum_upward_residual_ramp_time_utc,average_forecast_renewable_share_pct,hours_above_high_demand_threshold,hours_above_high_residual_threshold,hours_with_high_upward_ramp_alert,hours_with_low_renewable_share_alert,conservative_peak_residual_demand_mwh,favourable_peak_residual_demand_mwh,planning_complete_hours,planning_data_completeness_pct
test,2024-07-01,32912.0937500000,2024-07-01 03:00:00,28500.1308593750,2024-07-01 05:00:00,10.5376721300,2024-07-01 05:00:00,6691.3867187500,2024-07-01 04:00:00,36.9904780769,4,3,2,0,28541.1308593750,26917.6308593750,24,100.0000000000
test,2024-07-02,37108.6562500000,2024-07-02 03:00:00,31164.2734375000,2024-07-02 05:00:00,11.2616225021,2024-07-02 05:00:00,5739.2226562500,2024-07-02 04:00:00,34.1092268197,9,4,1,0,31803.2734375000,30237.5234375000,24,100.0000000000
test,2024-07-03,39924.0390625000,2024-07-03 03:00:00,33573.0156250000,2024-07-03 05:00:00,7.7245268413,2024-07-03 14:00:00,5966.6953125000,2024-07-03 04:00:00,30.6578995579,10,6,1,0,34258.0156250000,32722.5156250000,24,100.0000000000
test,2024-07-04,40924.1289062500,2024-07-04 02:00:00,35574.4257812500,2024-07-04 05:00:00,5.7999479799,2024-07-04 14:00:00,5152.0156250000,2024-07-04 04:00:00,26.9744567216,12,7,0,0,35437.4257812500,33901.9257812500,24,100.0000000000
test,2024-07-05,38782.9960937500,2024-07-05 03:00:00,34312.5664062500,2024-07-05 05:00:00,7.4073941335,2024-07-05 05:00:00,5588.9257812500,2024-07-05 04:00:00,31.6986783812,9,6,1,0,33741.5664062500,32206.0664062500,24,100.0000000000
test,2024-07-06,39822.5546875000,2024-07-06 03:00:00,33188.4101562500,2024-07-06 05:00:00,11.5598587287,2024-07-06 05:00:00,5427.6953125000,2024-07-06 04:00:00,32.9311715843,9,5,1,0,34210.4101562500,32688.1601562500,24,100.0000000000
test,2024-07-07,39602.4882812500,2024-07-07 03:00:00,33692.7148437500,2024-07-07 04:00:00,6.7013890760,2024-07-07 14:00:00,5938.2265625000,2024-07-07 04:00:00,30.3170119350,10,6,1,0,34422.9648437500,32785.0195312500,24,100.0000000000
test,2024-07-08,38162.6093750000,2024-07-08 03:00:00,33118.6093750000,2024-07-08 05:00:00,9.9391929759,2024-07-08 05:00:00,5114.4687500000,2024-07-08 04:00:00,31.7591348190,12,6,0,0,33457.6093750000,31976.8593750000,24,100.0000000000
test,2024-07-09,40166.9570312500,2024-07-09 03:00:00,33428.8906250000,2024-07-09 05:00:00,11.5471453171,2024-07-09 05:00:00,5220.6914062500,2024-07-09 04:00:00,32.0667143155,13,5,1,0,34476.8906250000,33038.6406250000,24,100.0000000000
test,2024-07-10,40259.3320312500,2024-07-10 03:00:00,34977.3515625000,2024-07-10 05:00:00,10.3152916290,2024-07-10 05:00:00,5642.5195312500,2024-07-10 04:00:00,30.3329362327,14,6,1,0,35639.1015625000,34262.3515625000,24,100.0000000000
