split,horizon,metric,unit,count,mae_mwh,rmse_mwh,bias_mwh,mape_pct,mape_count,smape_pct,smape_count
test,1,renewable_combined,MWh,182,1407.6923076923,1875.8228729146,33.0219780220,10.6733970416,182,10.4737862508,182
test,1,residual_demand,MWh,182,1552.4531786573,2049.2728309496,-40.8440182864,11.4478480706,182,11.2877863547,182
test,1,renewable_share,percentage_points,182,5.0662668202,6.8789291048,0.1754281182,10.8565011272,182,10.7215153392,182
test,2,renewable_combined,MWh,182,1336.9780219780,1750.5027190012,58.4175824176,12.4947053590,182,12.1590145364,182
test,2,residual_demand,MWh,182,1945.0491715316,2405.2695201906,275.3352936126,11.6559481630,182,11.2532959635,182
test,2,renewable_share,percentage_points,182,4.9140005790,6.3905116818,-0.1421448887,13.2505881420,182,13.2319843141,182
test,3,renewable_combined,MWh,182,1264.3021978022,1622.3540029812,85.7417582418,25.6486148704,182,23.3357093142,182
test,3,residual_demand,MWh,182,1924.3645582933,2447.0621477577,108.7669449691,8.6638301950,182,8.5203422989,182
test,3,renewable_share,percentage_points,182,4.3583630093,5.6800841557,0.3626320157,25.7459924289,182,23.9979878305,182
test,4,renewable_combined,MWh,182,1094.0439560440,1409.9238737146,63.4505494505,51.0116092655,182,38.4902547488,182
test,4,residual_demand,MWh,182,1717.3045801854,2158.8149763361,-68.2463942308,6.3089745982,182,6.2678723166,182
test,4,renewable_share,percentage_points,182,3.6494623930,4.7579713577,0.3105157366,51.2945526087,182,39.1233008328,182
test,5,renewable_combined,MWh,182,1023.6868131868,1327.0375273145,24.2362637363,61.2945432993,182,44.5890207208,182
test,5,residual_demand,MWh,182,1597.2484439389,2015.9374750401,34.1992938702,5.6509488306,182,5.5792785839,182
test,5,renewable_share,percentage_points,182,3.4420364606,4.6377127892,0.0811272434,61.1768672008,182,44.9867865649,182
test,6,renewable_combined,MWh,182,973.1428571429,1285.1976758204,15.3846153846,59.8254733717,182,44.3042871161,182
test,6,residual_demand,MWh,182,1531.2652172047,1920.1880954260,58.5429258242,5.5294072168,182,5.4657910957,182
test,6,renewable_share,percentage_points,182,3.3635185559,4.6326599329,0.0374311096,59.6208917884,182,44.6328899382,182
test,7,renewable_combined,MWh,182,993.8736263736,1308.3218993458,16.3241758242,61.2351614293,182,45.4313652898,182
test,7,residual_demand,MWh,182,1457.9883456387,1821.8862207780,-91.7949862637,5.4271979122,182,5.4127140519,182
test,7,renewable_share,percentage_points,182,3.5266322895,4.8330862353,0.0847780465,61.4352258135,182,45.7093603710,182
test,8,renewable_combined,MWh,182,1019.6208791209,1348.6191574600,14.7197802198,64.7336290324,182,46.6593911542,182
test,8,residual_demand,MWh,182,1359.8580657624,1745.4516725053,-138.2362208104,5.4047459467,182,5.4029945688,182
test,8,renewable_share,percentage_points,182,3.7958101350,5.1966148227,0.0936647308,65.5829552053,182,47.0259231733,182
test,9,renewable_combined,MWh,182,1021.9065934066,1335.0963479247,14.8076923077,65.9057147436,182,47.8884697416,182
test,9,residual_demand,MWh,182,1250.8140238668,1617.7273753600,-87.8933078640,5.2858950250,182,5.2827801041,182
test,9,renewable_share,percentage_points,182,3.9887326760,5.3681214114,0.0905229853,66.4777858236,182,48.0648957782,182
test,10,renewable_combined,MWh,182,995.7857142857,1285.9157830507,21.6318681319,63.0042519898,182,47.7598594591,182
test,10,residual_demand,MWh,182,1188.2843299279,1502.5831777500,-144.7452459650,5.2517223504,182,5.2667348854,182
test,10,renewable_share,percentage_points,182,4.0523099038,5.3604381372,0.1456106903,63.4806891693,182,47.9528071862,182
test,11,renewable_combined,MWh,182,975.6978021978,1248.4054863071,21.1483516484,61.6868455864,182,47.6544670571,182
test,11,residual_demand,MWh,182,1148.9892041552,1446.7577425529,-100.3874055632,5.2845055307,182,5.3019532745,182
test,11,renewable_share,percentage_points,182,4.1054024468,5.3602788409,0.1301608589,61.9677682161,182,47.7806674303,182
test,12,renewable_combined,MWh,182,975.7857142857,1229.2880567115,20.9505494505,65.1014325776,182,49.3535498031,182
test,12,residual_demand,MWh,182,1147.1429108001,1424.2591523160,71.1730232658,5.4890326311,182,5.4599554283,182
test,12,renewable_share,percentage_points,182,4.2341972075,5.4199312383,0.0635389790,64.8139087163,182,49.5022613953,182
test,13,renewable_combined,MWh,182,992.5934065934,1250.0017758229,18.9010989011,65.9789782582,182,50.8147393061,182
test,13,residual_demand,MWh,182,1182.0601498111,1464.1708284285,159.7713234032,5.8030747151,182,5.7421977509,182
test,13,renewable_share,percentage_points,182,4.3988432166,5.6161943237,0.0215689040,65.5213763642,182,51.0989277829,182
test,14,renewable_combined,MWh,182,982.6318681319,1241.0858038538,14.8626373626,67.6478277456,182,52.0242487140,182
test,14,residual_demand,MWh,182,1234.0170093578,1524.7084289525,241.9988302713,6.0830245866,182,5.9915818349,182
