split,model,model_label,horizon,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
test,daily_seasonal_naive,Daily seasonal naive,1,184,2205.1793478261,2917.4465672615,7.3634459070,7.3575363526,30.7989130435,0.7523307461
test,daily_seasonal_naive,Daily seasonal naive,2,184,1985.2391304348,2689.3254386960,6.3561804705,6.3482765048,40.5652173913,0.8323948920
test,daily_seasonal_naive,Daily seasonal naive,3,184,1713.6793478261,2410.2307315583,5.2010524308,5.1863924164,43.3206521739,0.8650058430
test,daily_seasonal_naive,Daily seasonal naive,4,184,1520.2608695652,2142.2159240416,4.5164754109,4.5031256354,41.6956521739,0.8753220196
test,daily_seasonal_naive,Daily seasonal naive,5,184,1378.8750000000,1923.1942787185,4.1692686078,4.1573392509,41.9402173913,0.8879340672
test,daily_seasonal_naive,Daily seasonal naive,6,184,1249.6684782609,1733.2998984721,3.8916520467,3.8802927729,38.9836956522,0.8971457263
test,daily_seasonal_naive,Daily seasonal naive,7,184,1119.6304347826,1549.5937511097,3.6115767253,3.6044972450,35.7608695652,0.9016128698
test,daily_seasonal_naive,Daily seasonal naive,8,184,933.1032608696,1303.1590108689,3.1890864942,3.1833132171,26.9836956522,0.9001581824
test,daily_seasonal_naive,Daily seasonal naive,9,184,863.9510869565,1159.2664730056,3.1574654252,3.1561883237,23.8097826087,0.8898380243
test,daily_seasonal_naive,Daily seasonal naive,10,184,723.0652173913,981.3133668268,2.7947434285,2.7906427704,21.0108695652,0.8971390954
test,daily_seasonal_naive,Daily seasonal naive,11,184,661.4673913043,906.2034335862,2.6617880700,2.6612665114,18.3695652174,0.8847664469
test,daily_seasonal_naive,Daily seasonal naive,12,184,688.3206521739,920.2524494138,2.8610079450,2.8600436012,16.8423913043,0.8575347354
test,daily_seasonal_naive,Daily seasonal naive,13,184,696.8097826087,929.2312595343,2.9759361094,2.9745786345,17.7228260870,0.8418018276
test,daily_seasonal_naive,Daily seasonal naive,14,184,731.0217391304,952.8251242444,3.1522502469,3.1465845367,16.0217391304,0.8255493395
test,daily_seasonal_naive,Daily seasonal naive,15,184,806.0217391304,1011.0276842208,3.4608061009,3.4567479218,11.7826086957,0.8051819782
test,daily_seasonal_naive,Daily seasonal naive,16,184,1133.8369565217,1491.5281629488,4.7203312824,4.7289739056,7.9347826087,0.6198000006
test,daily_seasonal_naive,Daily seasonal naive,17,184,1424.4456521739,1959.4630336995,5.6133400314,5.6421870063,12.1630434783,0.5493242413
test,daily_seasonal_naive,Daily seasonal naive,18,184,1598.8369565217,2192.1008039738,5.8705559857,5.9088640555,16.5869565217,0.6051014815
test,daily_seasonal_naive,Daily seasonal naive,19,184,1737.4782608696,2340.5477851953,6.1468813978,6.1853045716,2.4673913043,0.5385728630
test,daily_seasonal_naive,Daily seasonal naive,20,184,1806.1630434783,2428.7147455429,6.3764180211,6.4078866799,-4.4347826087,0.5264114903
test,daily_seasonal_naive,Daily seasonal naive,21,184,1927.8641304348,2528.6975348638,6.8437739361,6.8778634875,-4.5923913043,0.5573507746
test,daily_seasonal_naive,Daily seasonal naive,22,184,2031.2663043478,2625.3916302062,7.2315669291,7.2660359129,-4.8858695652,0.5947781261
test,daily_seasonal_naive,Daily seasonal naive,23,184,2167.2989130435,2774.9790392863,7.6680976802,7.7027665909,0.0489130435,0.6338806120
test,daily_seasonal_naive,Daily seasonal naive,24,184,2230.0760869565,2895.7531797895,7.7333642920,7.7473437457,14.8695652174,0.6862086099
test,flat_persistence,Flat persistence,1,184,1182.0489130435,1435.0461267393,3.6989284059,3.7874796247,-1010.2445652174,0.9400763863
test,flat_persistence,Flat persistence,2,184,2381.0706521739,2735.6629065079,7.3653349554,7.6385772311,-1732.6358695652,0.8265694131
test,flat_persistence,Flat persistence,3,184,3239.2771739130,3784.1825268794,9.6243034606,10.2389950383,-2957.1250000000,0.6672317489
