split,model,model_label,count,mae_mwh,rmse_mwh,mape_pct,smape_pct,bias_mwh,r_squared
test,daily_seasonal_naive,Daily seasonal naive,4416,1388.8983242754,1993.0333639480,4.8986277073,4.9055854854,19.4069293478,0.8547947310
test,flat_persistence,Flat persistence,4416,3294.0394021739,4234.9399663477,12.1439009704,11.4511738815,1181.3038949275,0.3443867017
test,recursive_linear_regression,Recursive Linear Regression,4416,1218.5627438351,1597.0481968012,4.4351045013,4.3992883374,164.5654193572,0.9067627870
test,recursive_xgboost,Recursive XGBoost,4416,1046.4681042657,1449.3919844584,3.7169708615,3.7364895972,-186.8801968340,0.9232064140
test,weekly_seasonal_naive,Weekly seasonal naive,4416,2378.8179347826,3494.7828375339,8.1801214071,7.9975303179,244.9207427536,0.5535286184
validation,daily_seasonal_naive,Daily seasonal naive,4368,1177.0224358974,1676.1908360519,5.1515027683,5.1560970136,-27.2710622711,0.7207438049
validation,flat_persistence,Flat persistence,4368,2396.3321886447,3024.3773598224,10.1512662208,10.6296602873,-1166.0478479853,0.0908661064
validation,recursive_linear_regression,Recursive Linear Regression,4368,1058.6445411442,1379.4544423259,4.6029928352,4.5703982477,75.4740348677,0.8108655605
validation,recursive_xgboost,Recursive XGBoost,4368,767.0345112448,1078.6180839829,3.3367296749,3.3381879970,21.4154202528,0.8843644722
validation,weekly_seasonal_naive,Weekly seasonal naive,4368,1330.6046245421,1928.7302322609,5.5741334687,5.6491667459,-257.4722985348,0.6302579299
